id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
882891177565007872	Michael Ajiboye	Abuja	2022-08-16 07:04:00+00:00	https://twitter.com/ajiboye3192/status/1559435791549583360	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
764065735	#YesWeCan	Nigeria	2022-08-16 07:04:00+00:00	https://twitter.com/Toniichris/status/1559435791390183426	Twitter for Android	2426	0	RT This Is Mulikat Akande She supposed become speaker She lost bcs Tinubu worked support	0.1027	Positive
1400866988512133123	Ella Frost	Benin-City, Nigeria	2022-08-16 07:03:59+00:00	https://twitter.com/EEdevbaro/status/1559435789947346945	Twitter for Android	572	0	RT Who Vote Between Atiku Tinubu amp Peter Obi See reaction Residents Benin City Benin Women	0.0	Neutral
1245755253066289152	Your bae 🧘🏽‍♀️🇨🇦	Somewhere in Earth 🧘🏽‍♀️	2022-08-16 07:03:58+00:00	https://twitter.com/dorcas_tunmise/status/1559435782808649728	Twitter for Android	1647	0	RT The rented Bishop robe time dancing Tinubu Festus Keyamo	0.0	Neutral
1094624115254837249	That Solar Guy☇☉	maps.app.goo.gl/rBbHte	2022-08-16 07:03:57+00:00	https://twitter.com/solar_plannet/status/1559435778794684416	Twitter for Android	167	0	RT Shorts N Joggers N Hoodies N Tshirts N Send DM Whatsapp Delivery nationwide IG	0.0	Neutral
3380030272	Get your PVC .	 Nigeria	2022-08-16 07:03:57+00:00	https://twitter.com/Peter_Gozie/status/1559435778735968260	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
242323327	Lordbishop	Nigeria	2022-08-16 07:03:54+00:00	https://twitter.com/realDewoye/status/1559435767897808896	Twitter for Android	1647	0	RT The rented Bishop robe time dancing Tinubu Festus Keyamo	0.0	Neutral
2623966271	Wende Jacobweezy	benue,Nigeria	2022-08-16 07:03:54+00:00	https://twitter.com/wendeJacobweezy/status/1559435765909684224	Twitter for Android	378	0	RT Throwback Watch Tinubu Mock Anenih For Being Too Old For Government TableShaker	-0.4215	Negative
1315244570897272836	Harry		2022-08-16 07:03:51+00:00	https://twitter.com/Harryclem17/status/1559435755457503234	Twitter for Android	7	0	RT We cooking told underestimate Peter Obi E go shock Atiku Tinubu PeterObiPresident	-0.5859	Negative
1468560169693024256	FD Fwachabe		2022-08-16 07:03:51+00:00	https://twitter.com/Fwachabe2/status/1559435753632980992	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
571083529	Victor	BENUE 	2022-08-16 07:03:50+00:00	https://twitter.com/Victornas85/status/1559435750978064385	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
1490401489747165184	Boo		2022-08-16 07:03:49+00:00	https://twitter.com/Blu02Fly/status/1559435748335652865	Twitter for Android	931	0	RT Tinubu hiring Notorious Cutist like Tony Kababar campaign tell need know	-0.1027	Negative
802676028	A BETTER 🇳🇬🇳🇬🇳🇬 FOR PETER OBI		2022-08-16 07:03:47+00:00	https://twitter.com/udeh_okey/status/1559435739208859648	Twitter for Android	964	0	RT Asari Dokubo endorsed Tinubu Tony Kabaka also endorsed Tinubu As saying go show friend amp I	0.7351	Positive
725734431395303424	Ugo si Mba	Port Harcourt, Nigeria	2022-08-16 07:03:47+00:00	https://twitter.com/dnajulienne/status/1559435737585647616	Twitter for iPhone	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
1336702729159315456	Gracey		2022-08-16 07:03:45+00:00	https://twitter.com/Iam_gracey0/status/1559435728043524097	Twitter for iPhone	167	0	RT Shorts N Joggers N Hoodies N Tshirts N Send DM Whatsapp Delivery nationwide IG	0.0	Neutral
1178718023668121600	Pearl ˢᵀ		2022-08-16 07:03:43+00:00	https://twitter.com/ChommyrosePear1/status/1559435721655590912	Twitter for Android	931	0	RT Tinubu hiring Notorious Cutist like Tony Kababar campaign tell need know	-0.1027	Negative
1154672907731308544	NITROUS OXIDE		2022-08-16 07:03:42+00:00	https://twitter.com/AniefunaO/status/1559435716765122560	Twitter for iPhone	1203	0	RT Lmaoooo Kabaka documentary BBC cultism many killing Benin City fgs What dea	-0.6597	Negative
1239928024033828866	Dduke		2022-08-16 07:03:42+00:00	https://twitter.com/Dduke47600187/status/1559435715284451330	Twitter for Android	2426	0	RT This Is Mulikat Akande She supposed become speaker She lost bcs Tinubu worked support	0.1027	Positive
980502723639562240	iam_lisconja		2022-08-16 07:03:40+00:00	https://twitter.com/Lisco24712/status/1559435708787564546	Twitter for Android	2526	0	RT Tony Kabaka amp Festus Keyamo suppowho want The deadly cultist endorse Tinubu But D Day	0.2023	Positive
1414157051198988288	Kenbit Uchezi		2022-08-16 07:03:40+00:00	https://twitter.com/KenbitU/status/1559435707118125056	Twitter for Android	0	0	people shouting tinubu see reason president believe na son brother say popular candidate emerged side seeing mentioning name sentiment big dease	0.4215	Positive
1541023230768594945	Sandra		2022-08-16 07:03:39+00:00	https://twitter.com/Sandyprettyy/status/1559435703876026368	Twitter for Android	167	0	RT Shorts N Joggers N Hoodies N Tshirts N Send DM Whatsapp Delivery nationwide IG	0.0	Neutral
1121142732779606016	Ay Lawrence ➐	Ads and PR? 📩	2022-08-16 07:03:37+00:00	https://twitter.com/PurelyMide/status/1559435694174511105	Twitter for iPhone	187	0	RT Seduce husband sexy wear stop tying All Progressives Congress wrapper around house Tinubu face What problem	-0.128	Negative
1496954352250101764	Valex Patrick		2022-08-16 07:03:36+00:00	https://twitter.com/ValexPatrick/status/1559435690567507970	Twitter for iPhone	22	0	RT Pls watch Dis As long neva give dat matter Cheers Kindly go tru page see Eve	0.7717	Positive
1907409084	BLUE🧜🏽👄💕		2022-08-16 07:03:36+00:00	https://twitter.com/aelizzyme/status/1559435690202615808	Twitter for iPhone	1647	0	RT The rented Bishop robe time dancing Tinubu Festus Keyamo	0.0	Neutral
238062559	Otis	Coram Deo	2022-08-16 07:03:36+00:00	https://twitter.com/_chuka/status/1559435690173145090	Twitter for Android	416	0	RT Is How All Progressives Congress working Notorious criminal exconvict If Tinubu eventually becomes	-0.743	Negative
1088800121809264641	Divine Mykle	A.I Nigeria	2022-08-16 07:03:34+00:00	https://twitter.com/LegitDee150/status/1559435683084865536	Twitter for Android	309	0	RT Festus Keyamo senior advocate celebrating group sketchy dubious character singing Tinubu even	0.296	Positive
1498321361781022721	Edoweku Abraham	Benin-City, Nigeria	2022-08-16 07:03:32+00:00	https://twitter.com/abraham_edoweku/status/1559435675497336833	Twitter for Android	332	0	RT Comrade Aminu Nurudeen Muslim IPOB member Northern Nigeria According Reno Deji Sega silly logic	0.0258	Positive
1511688363409133568	Chychy Nwosu		2022-08-16 07:03:30+00:00	https://twitter.com/chychyloving/status/1559435668169916416	Twitter for Android	472	0	RT Breaking Tinubu camp cry lack fund social medium campaign warning PO surge popularity everywh	-0.8415	Negative
1454368093141028865	Okay Good 🪐🪐🪐🥲🦾	World	2022-08-16 07:03:27+00:00	https://twitter.com/WulohAlfred/status/1559435652860616705	Twitter for Android	2426	0	RT This Is Mulikat Akande She supposed become speaker She lost bcs Tinubu worked support	0.1027	Positive
1320052260282470400	Nnaji Onyedikachukwu #EndSARS	Lagos, Nigeria	2022-08-16 07:03:25+00:00	https://twitter.com/NnajiOnyedikac2/status/1559435645981974528	Twitter for iPhone	416	0	RT Is How All Progressives Congress working Notorious criminal exconvict If Tinubu eventually becomes	-0.743	Negative
1546082220343001091	Bobo Obident	Lagos, Nigeria	2022-08-16 07:03:25+00:00	https://twitter.com/BeYusuful/status/1559435643813494786	Twitter for Android	480	0	RT Tinubu Atiku campaign strategy share dollar primary election eat corn street	0.296	Positive
880215426	Goodluck John	Delta, Nigeria	2022-08-16 07:03:23+00:00	https://twitter.com/GOODLUCKNERO/status/1559435638453293057	Twitter for Android	2426	0	RT This Is Mulikat Akande She supposed become speaker She lost bcs Tinubu worked support	0.1027	Positive
1320052260282470400	Nnaji Onyedikachukwu #EndSARS	Lagos, Nigeria	2022-08-16 07:03:21+00:00	https://twitter.com/NnajiOnyedikac2/status/1559435629208952834	Twitter for iPhone	309	0	RT Festus Keyamo senior advocate celebrating group sketchy dubious character singing Tinubu even	0.296	Positive
1158016989560000512	decency is no pride🥂🍾🍻🍺	Lagos, Nigeria	2022-08-16 07:03:20+00:00	https://twitter.com/NewKings12/status/1559435626545553409	Twitter for Android	2426	0	RT This Is Mulikat Akande She supposed become speaker She lost bcs Tinubu worked support	0.1027	Positive
83270385	Dammy		2022-08-16 07:03:20+00:00	https://twitter.com/damii10/status/1559435623777374209	Twitter for iPhone	5633	0	RT You guy remember Kabaka notorious criminal cultist BBC documentary Cult group Nigeria r	-0.743	Negative
1248598516370485249	Dave O	Nigeria	2022-08-16 07:03:18+00:00	https://twitter.com/DOsegbu/status/1559435614994530304	Twitter for Android	2235	0	RT Festus Keyamu Official Spokesman Tinubu All Progressives Congress presidential campaign shared Video known Cultist Thug Kille	0.34	Positive
1287578159731417090	Ace	 Nigeria	2022-08-16 07:03:16+00:00	https://twitter.com/Macpherskn/status/1559435608992657408	Twitter for Android	167	0	RT Shorts N Joggers N Hoodies N Tshirts N Send DM Whatsapp Delivery nationwide IG	0.0	Neutral
1544079971064348676	BAT LAWYERS		2022-08-16 07:03:16+00:00	https://twitter.com/BAT_lawyers/status/1559435608698732545	Twitter for iPhone	0	0	Happy birthday Leader May Lord grant many prosperous year ahead Amen From Bola Ahmed Tinubu BAT Lawyers	0.8519	Positive
1369211297410220032	Blackie𓃵	Island, France	2022-08-16 07:03:15+00:00	https://twitter.com/obacruise/status/1559435604718489601	Twitter for Android	2526	0	RT Tony Kabaka amp Festus Keyamo suppowho want The deadly cultist endorse Tinubu But D Day	0.2023	Positive
2611614507	Timi	Twitter	2022-08-16 07:03:14+00:00	https://twitter.com/Timileyin___/status/1559435598640943104	Twitter for iPhone	1821	0	RT This Tony Kababa A Notorious Cultist thug Killer Tinubu recruited Campaign endorsed All Progressives Congress presidential campa	-0.7351	Negative
